StartDate,StartTime,EndTime,Cycle,Animal,Age_months,Genotype,id_code,Sex,InitMass_g,BP_kPa,EvniroLightLux,TempC,RH_pct,AC2_TempC,Avg_EE,Tot_EE,Avg_VO2,Avg_VCO2,Avg_RQ,Avg_VH2O,R_EE_30,R_RER_30,QR_EE_30,QR_RER_30,A_EE_15,A_RER_15,QA_EE_15,QA_RER_15,UptakeA_g,UptakeA_N,UptakeA_Sum,UptakeA_min,InterUptakeA_min,uptakeW_g,uptakeW_N,uptakeW_Sum,uptakeW_min,InteruptakeW_min,BodyMass_g,BodyMass_SD,YBreaks,XBreaks,ZBreaks,AllMeters,PedMeters,PedSpeed,Walk_pct,Still_pct,Sleep_pct,Sleep_hrs
5/22/23,18:30:00,19:00:00,28,7,.,.,.,.,.,99.71432,0,.,.,24.3774,0.4617449,0.230875,1.606319,1.234397,0.7681109,0.2723254,0.4617451,0.7680786,0.4617451,0.7680786,0.4794081,0.7810105,0.4509254,0.7523652,0.09396362,2,0.1879272,11.10833,3.45,0.06263733,2,0.1252747,0.8083333,15.5,19.08953,0.02775149,1117,1081,904,16.99796,15.16798,0.03042861,43.1427,25.37479,9.55025,0.04763883
5/22/23,18:30:00,19:00:00,28,8,.,.,.,.,.,99.71432,0,.,.,24.1135,0.5181553,0.2590756,1.785862,1.444701,0.8097075,0.2872647,0.5181613,0.8096908,0.5181613,0.8096908,0.5213075,0.8083997,0.5079186,0.8063059,0.08773804,1,0.08773804,25,0,0.05322266,3,0.159668,0.8944445,8.058333,4.310175,8.281993,1372,1125,2291,21.66957,19.89154,0.03186881,52.97057,14.10328,3.053859,0.01527779
5/22/23,18:30:00,19:00:00,28,9,.,.,.,.,.,99.71432,0,25.52443,41.07251,24.36491,0.5365795,0.268287,1.852106,1.486295,0.8026117,0.2516,0.5365602,0.8026212,0.5365602,0.8026212,0.5432197,0.7997496,0.5241541,0.8032792,0.04806519,2,0.09613038,11.76667,4.016667,0.01048787,3,0.03146361,1.111111,4.591667,18.44132,3.052407,1153,1016,1019,19.8609,18.11286,0.03205274,46.36313,32.09328,9.161576,0.04583328
5/22/23,18:30:00,19:00:00,28,10,.,.,.,.,.,99.71432,0,.,.,24.54694,0.5345076,0.2672595,1.818266,1.575655,0.8667378,0.2707166,0.5345142,0.8667376,0.5345142,0.8667376,0.5517814,0.8685607,0.5252472,0.858576,0.115448,1,0.115448,21.83333,0,0.05221558,1,0.05221558,2.266667,0,20.70732,0.01367793,1389,990,2408,15.49512,13.29587,0.02700888,39.97779,5.552471,0.1110494,0.000416667
5/22/23,18:30:00,19:00:00,28,11,.,.,.,.,.,99.71432,0,.,.,24.54549,0.4553227,0.2276613,1.577768,1.239355,0.7876176,0.2192815,0.4553335,0.7876451,0.4553335,0.7876451,0.4613151,0.7516837,0.4473222,0.8002661,0.02148438,1,0.02148438,10.53333,0,0,0,0,0,0,20.22672,0.05989057,2175,2141,1066,54.01504,52.10185,0.04982213,78.84508,8.384231,2.220988,0.01111111
5/22/23,18:30:00,19:00:00,28,12,.,.,.,.,.,99.71432,0,.,.,24.35873,0.5105544,0.2552787,1.767423,1.395864,0.7891012,0.3046932,0.5105663,0.7891132,0.5105663,0.7891132,0.5288223,0.7972625,0.502202,0.7889717,0.0670166,1,0.0670166,20.88333,0,0.1104635,3,0.3313905,0.9555556,7.958333,0,0,1791,1499,1232,25.53349,23.12206,0.03125917,60.57746,8.60633,0,0
5/22/23,18:30:00,19:00:00,28,13,.,.,.,.,.,99.71432,0,.,.,24.61971,0.5105948,0.2553015,1.787602,1.324569,0.7400085,0.2592388,0.5106277,0.7400173,0.5106277,0.7400173,0.5280361,0.74849,0.4983773,0.7290284,0,0,0,0,0,0.005681356,6,0.03408813,0.5638889,3.356667,0,0,1808,1370,879,32.16481,30.23782,0.03731006,64.35314,18.76735,0,0
5/22/23,18:30:00,19:00:00,28,14,.,.,.,.,.,99.71432,0,.,.,24.07067,0.5703575,0.2852013,2.006268,1.445982,0.7208842,0.2947673,0.5704141,0.7208895,0.5704141,0.7208895,0.6093759,0.7277046,0.5743859,0.7188514,0.0541687,1,0.0541687,20.65,0,0,0,0,0,0,9.23887,11.54949,1260,1224,1200,18.42258,16.85255,0.03002913,42.42088,41.97668,22.76513,0.1138892
5/22/23,18:30:00,19:00:00,28,15,.,.,.,.,.,99.71432,0,.,.,24.60977,0.4752779,0.2376406,1.645334,1.29931,0.7902582,0.3024312,0.475317,0.7902651,0.475317,0.7902651,0.4929263,0.7804365,0.4916416,0.7821051,0.05759684,3,0.1727905,7.116667,3.116667,0.04399109,2,0.08798218,0.625,2.7,18.51624,0.05036137,1223,1301,1195,16.97371,15.03271,0.02639585,44.75291,24.59745,6.940588,0.03472223
5/22/23,18:30:00,19:00:00,28,16,.,.,.,.,.,99.71432,0,.,.,24.22901,0.376438,0.1882022,1.32017,0.9685129,0.7309644,0.3114012,0.3764034,0.730938,0.3764034,0.730938,0.3949847,0.7448099,0.3576876,0.7169625,0.01608276,3,0.04824828,2.161111,9.308333,0.0176239,2,0.0352478,0.2583333,1.95,13.39663,6.848674,881,711,277,8.615662,7.110828,0.02672849,22.20988,52.02665,33.09273,0.1655551
